id,komentar,cleaned_komentar,hasil_translate,score_negative,score_neutral,score_positive,compound,label
1,"Oke aja, ga wow tapi juga ga zonk.",tidak wow tidak kecewa,"OK, not wow, but also not disappointing",0.194,0.477,0.328,0.3412,Positif
2,"Gimana ini dong, ga sama",tidak,how is this not the same?,0.0,1.0,0.0,0.0,Netral
3,"Kok jadi gini dong, ga pas",tidak pas,How come it's not right like this?,0.26,0.74,0.0,-0.2755,Negatif
4,"Bagus sekali pelayanannya, bagus mengabaikan komplain!",bagus layan bagus abai komplain,"Very good, good service, ignoring complaints",0.392,0.145,0.463,0.2433,Positif
5,Worth it lah tokonya,padan it toko,It's worth the shop,0.0,0.612,0.388,0.2263,Positif
6,"Gimana ini deh, ga sesuai gambar",tidak sesuai gambar,How come this doesn't match the picture?,0.0,1.0,0.0,0.0,Netral
7,Mantap banget gw kualitasnya,mantap kualitas,I really like the quality,0.0,0.589,0.411,0.4201,Positif
8,"Bukan jelek sih, justru mantap!",bukan jelek mantap,"It's not bad, it's actually great",0.0,0.365,0.635,0.7876,Positif
9,"Nyesel? Iya, nyesel ga beli dari dulu! Bagus banget!",sesal iya sesal tidak beli bagus,"I regret it, I regret not buying it sooner, it's really good",0.315,0.506,0.179,-0.3415,Negatif
10,Cukup memuaskan,muas,quite satisfying,0.0,0.233,0.767,0.5095,Positif
11,Memuaskan! Produk sesuai harapan dan tahan lama.,muas produk sesuai harap tahan,satisfying product as expected and long lasting,0.0,0.667,0.333,0.4588,Positif
12,Mengecewakan ekspektasi karena terlalu bagus!,kecewa ekspektasi bagus,disappointed expectations because it was too good,0.282,0.455,0.264,-0.0516,Negatif
13,Senang nih kualitasnya,senang kualitas,I'm happy with the quality,0.0,0.519,0.481,0.5719,Positif
14,Senang sih barangnya,senang barang,I'm happy with the item,0.0,0.519,0.481,0.5719,Positif
15,"Kenapa bisa gini nih, kecewa parah",kecewa parah,"why is it like this, I'm so disappointed",0.32,0.48,0.2,-0.3593,Negatif
16,Memuaskan gitu tokonya,muas toko,satisfying so shop,0.0,0.4,0.6,0.4588,Positif
17,"Gimana ini dong, ga sesuai gambar",tidak sesuai gambar,How come this doesn't match the picture?,0.0,1.0,0.0,0.0,Netral
18,Top banget nih barangnya,baik barang,this is the best thing,0.0,0.488,0.512,0.6369,Positif
19,"Bukan cacat kok, malah oke!",bukan cacat,"It's not a defect, it's actually good",0.0,0.503,0.497,0.6041,Positif
20,Senang banget deh barangnya,senang barang,I'm very happy with the item,0.0,0.556,0.444,0.6115,Positif
21,"Kenapa bisa gini ya, ga sesuai foto",tidak sesuai foto,"why is it like this, it doesn't match the photo",0.0,0.783,0.217,0.3612,Positif
22,Palsu? Justru original 100%!,palsu original,fake is actually original,0.419,0.27,0.311,-0.2023,Negatif
23,"Kenapa jadi gini sih, ga sesuai warna",tidak sesuai warna,"why is it like this, it doesn't match the color?",0.0,0.783,0.217,0.3612,Positif
24,Oke lah pelayanannya,layan,good service,0.0,0.256,0.744,0.4404,Positif
25,Recommended emang kualitasnya,rekomendasi kualitas,Recommended indeed quality,0.0,0.526,0.474,0.2023,Positif
26,Keren sih pokoknya,keren pokok,it's really cool,0.0,0.435,0.565,0.3804,Positif
