id,komentar
1,"Oke aja, ga wow tapi juga ga zonk."
2,"Gimana ini dong, ga sama"
3,"Kok jadi gini dong, ga pas"
4,"Bagus sekali pelayanannya, bagus mengabaikan komplain!"
5,Worth it lah tokonya
6,"Gimana ini deh, ga sesuai gambar"
7,Mantap banget gw kualitasnya
8,"Bukan jelek sih, justru mantap!"
9,"Nyesel? Iya, nyesel ga beli dari dulu! Bagus banget!"
10,Cukup memuaskan
11,Memuaskan! Produk sesuai harapan dan tahan lama.
12,Mengecewakan ekspektasi karena terlalu bagus!
13,Senang nih kualitasnya
14,Senang sih barangnya
15,"Kenapa bisa gini nih, kecewa parah"
16,Memuaskan gitu tokonya
17,"Gimana ini dong, ga sesuai gambar"
18,Top banget nih barangnya
19,"Bukan cacat kok, malah oke!"
20,Senang banget deh barangnya
21,"Kenapa bisa gini ya, ga sesuai foto"
22,Palsu? Justru original 100%!
23,"Kenapa jadi gini sih, ga sesuai warna"
24,Oke lah pelayanannya
25,Recommended emang kualitasnya
26,Keren sih pokoknya
27,Senang pokoknya tokonya
28,"Kenapa gini sih, ga sesuai ukuran"
29,Worth it banget ini kualitasnya
30,"Ga murahan sama sekali, bagus!"
31,Produk excellent! Sudah order 3x tidak pernah mengecewakan.
32,Keren banget kualitasnya
33,Recommended sih pembeliannya
34,Suka pokoknya pembeliannya
35,Suka banget sih
36,"Gimana ini dong, cacat"
37,"Kenapa jadi gini nih, ga sesuai ekspektasi"
38,Bagus nih kualitasnya
39,"Kok bisa gini deh, mengecewakan"
40,Mantap ternyata palsu barangnya!
41,Worth it lah pelayanannya
42,Oke banget sih produknya
43,Oke deh kualitasnya
44,Suka banget sih tokonya
45,"Gimana nih dong, mengecewakan"
46,Recommended banget tokonya
47,Top memang pelayanannya
48,Recommended banget sih produknya
49,Recommended banget sih kualitasnya
50,"Ga kecewa kok, justru wow!"
51,"Kenapa gini, ga sesuai pesanan"
52,"Kok gini deh, ga sesuai ukuran"
53,Bagus banget gw
54,Oke memang kualitasnya
55,Top sih barangnya
56,Memuaskan sih pelayanannya
57,"Gimana ini, ga sesuai pesanan"
58,Oke banget sih seller
